Streams,Song Titles
556.802039,Nights Like This (feat. Ty Dolla $ign)
404.298928,Gangsta
277.101416,Done for Me (feat. Kehlani)
380.241484,Good Life (with G-Eazy & Kehlani)
164.054694,Toxic
130.735458,Can I
235.521786,Ring (feat. Kehlani)
253.812917,Good Thing (with Kehlani)
235.010448,Honey
119.41021,At My Worst (feat. Kehlani)
